A00;Kolera
M89.20;Druge motnje kostnega razvoja in rasti, veè mest
M89.21;Druge motnje kostnega razvoja in rasti, ramenski predel
M89.22;Druge motnje kostnega razvoja in rasti, zgornji ud
M89.23;Druge motnje kostnega razvoja in rasti, podlaket
M89.24;Druge motnje kostnega razvoja in rasti, roka
M89.25;Druge motnje kostnega razvoja in rasti, medenièni predel in stegno
M89.26;Druge motnje kostnega razvoja in rasti, spodnji ud
M89.27;Druge motnje kostnega razvoja in rasti, gleženj in stopalo
M89.28;Druge motnje kostnega razvoja in rasti, drugo
M89.29;Druge motnje kostnega razvoja in rasti, neopredeljeno mesto
M89.3;Hipertrofija kosti
M89.30;Hipertrofija kosti, veè mest
M89.31;Hipertrofija kosti, ramenski predel
M89.32;Hipertrofija kosti, zgornji ud
M89.33;Hipertrofija kosti, podlaket
M89.34;Hipertrofija kosti, roka
M89.35;Hipertrofija kosti, medenièni predel in stegno
M89.36;Hipertrofija kosti, spodnji ud
M89.37;Hipertrofija kosti, gleženj in stopalo
M89.38;Hipertrofija kosti, drugo
M89.39;Hipertrofija kosti, neopredeljeno mesto
M89.4;Druge vrste hipertrofièna osteoartropatija
M89.40;Druge vrste hipertrofièna osteoartropatija, veè mest
M89.41;Druge vrste hipertrofièna osteoartropatija, ramenski predel
M89.42;Druge vrste hipertrofièna osteoartropatija, zgornji ud
M89.43;Druge vrste hipertrofièna osteoartropatija, podlaket
M89.44;Druge vrste hipertrofièna osteoartropatija, roka
M89.45;Druge vrste hipertrofièna osteoartropatija, medenièni predel in stegno
M89.46;Druge vrste hipertrofièna osteoartropatija, spodnji ud
M89.47;Druge vrste hipertrofièna osteoartropatija, gleženj in stopalo
M89.48;Druge vrste hipertrofièna osteoartropatija, drugo
M89.49;Druge vrste hipertrofièna osteoartropatija, neopredeljeno mesto
M89.5;Osteoliza
M89.50;Osteoliza, veè mest
M89.51;Osteoliza, ramenski predel
M89.52;Osteoliza, zgornji ud
M89.53;Osteoliza, podlaket
M89.54;Osteoliza, roka
M89.55;Osteoliza, medenièni predel in stegno
M89.56;Osteoliza, spodnji ud
M89.57;Osteoliza, gleženj in stopalo
M89.58;Osteoliza, drugo
M89.59;Osteoliza, neopredeljeno mesto
M89.6;Osteopatija po otroški paralizi (poliomielitisu)
M89.60;Osteopatija po otroški paralizi (poliomielitisu), veè mest
M89.61;Osteopatija po otroški paralizi (poliomielitisu), ramenski predel
M89.62;Osteopatija po otroški paralizi (poliomielitisu), zgornji ud
M89.63;Osteopatija po otroški paralizi (poliomielitisu), podlaket
M89.64;Osteopatija po otroški paralizi (poliomielitisu), roka
M89.65;Osteopatija po otroški paralizi (poliomielitisu), medenièni predel in stegno
M89.66;Osteopatija po otroški paralizi (poliomielitisu), spodnji ud
M89.67;Osteopatija po otroški paralizi (poliomielitisu), gleženj in stopalo
M89.68;Osteopatija po otroški paralizi (poliomielitisu), drugo
M89.69;Osteopatija po otroški paralizi (poliomielitisu), neopredeljeno mesto
M89.8;Druge opredeljene bolezni kosti
M89.80;Druge opredeljene bolezni kosti, veè mest
M89.81;Druge opredeljene bolezni kosti, ramenski predel
M89.82;Druge opredeljene bolezni kosti, zgornji ud
M89.83;Druge opredeljene bolezni kosti, podlaket
M89.84;Druge opredeljene bolezni kosti, roka
M89.85;Druge opredeljene bolezni kosti, medenièni predel in stegno
M89.86;Druge opredeljene bolezni kosti, spodnji ud
M89.87;Druge opredeljene bolezni kosti, gleženj in stopalo
M89.88;Druge opredeljene bolezni kosti, drugo
M89.89;Druge opredeljene bolezni kosti, neopredeljeno mesto
M89.9;Bolezen kosti, neopredeljena
M89.90;Bolezen kosti, neopredeljena, veè mest
M89.91;Bolezen kosti, neopredeljena, ramenski predel
M89.92;Bolezen kosti, neopredeljena, zgornji ud
M89.93;Bolezen kosti, neopredeljena, podlaket
M89.94;Bolezen kosti, neopredeljena, roka
M89.95;Bolezen kosti, neopredeljena, medenièni predel in stegno
M89.96;Bolezen kosti, neopredeljena, spodnji ud
M89.97;Bolezen kosti, neopredeljena, gleženj in stopalo
M89.98;Bolezen kosti, neopredeljena, drugo
M89.99;Bolezen kosti, neopredeljena, neopredeljeno mesto
M90;Bolezni kosti (osteopatije) pri boleznih, uvršèenih drugje
M90.0;Kostna tuberkuloza (A18.0†)
M90.00;Kostna tuberkuloza (A18.0†), veè mest 
M90.01;Kostna tuberkuloza (A18.0†), ramenski predel 
M90.02;Kostna tuberkuloza (A18.0†), zgornji ud
M90.03;Kostna tuberkuloza (A18.0†), podlaket
M90.04;Kostna tuberkuloza (A18.0†), roka
M90.05;Kostna tuberkuloza (A18.0†), medenièni predel in stegno 
M90.06;Kostna tuberkuloza (A18.0†), spodnji ud 
M90.07;Kostna tuberkuloza (A18.0†), gleženj in stopalo
M90.08;Kostna tuberkuloza (A18.0†), drugo
M90.09;Kostna tuberkuloza (A18.0†), neopredeljeno mesto
M90.1;Periostitis pri drugih infekcijskih boleznih, uvršèenih drugje
M90.10;Periostitis pri drugih infekcijskih boleznih, uvršèenih drugje, veè mest
M90.11;Periostitis pri drugih infekcijskih boleznih, uvršèenih drugje, ramenski predel
M90.12;Periostitis pri drugih infekcijskih boleznih, uvršèenih drugje, zgornji ud
M90.13;Periostitis pri drugih infekcijskih boleznih, uvršèenih drugje, podlaket
M90.14;Periostitis pri drugih infekcijskih boleznih, uvršèenih drugje, roka
M90.15;Periostitis pri drugih infekcijskih boleznih, uvršèenih drugje, medenièni predel in stegno
M90.16;Periostitis pri drugih infekcijskih boleznih, uvršèenih drugje, spodnji ud
M90.17;Periostitis pri drugih infekcijskih boleznih, uvršèenih drugje, gleženj in stopalo
M90.18;Periostitis pri drugih infekcijskih boleznih, uvršèenih drugje, drugo
M90.19;Periostitis pri drugih infekcijskih boleznih, uvršèenih drugje, neopredeljeno mesto
M90.2;Bolezen kosti (osteopatija) pri drugih infekcijskih boleznih, uvršèenih drugje
M90.20;Bolezen kosti (osteopatija) pri drugih infekcijskih boleznih, uvršèenih drugje, veè mest
M90.21;Bolezen kosti (osteopatija) pri drugih infekcijskih boleznih, uvršèenih drugje, ramenski predel
M90.22;Bolezen kosti (osteopatija) pri drugih infekcijskih boleznih, uvršèenih drugje, zgornji ud
M90.23;Bolezen kosti (osteopatija) pri drugih infekcijskih boleznih, uvršèenih drugje, podlaket
M90.24;Bolezen kosti (osteopatija) pri drugih infekcijskih boleznih, uvršèenih drugje, roka
M90.25;Bolezen kosti (osteopatija) pri drugih infekcijskih boleznih, uvršèenih drugje, medenièni predel in stegno
M90.26;Bolezen kosti (osteopatija) pri drugih infekcijskih boleznih, uvršèenih drugje, spodnji ud
M90.27;Bolezen kosti (osteopatija) pri drugih infekcijskih boleznih, uvršèenih drugje, gleženj in stopalo
M90.28;Bolezen kosti (osteopatija) pri drugih infekcijskih boleznih, uvršèenih drugje, drugo
M90.29;Bolezen kosti (osteopatija) pri drugih infekcijskih boleznih, uvršèenih drugje, neopredeljeno mesto
M90.3;Osteonekroza pri kesonski bolezni (T70.3†)
M90.30;Osteonekroza pri kesonski bolezni (T70.3†), veè mest 
M90.31;Osteonekroza pri kesonski bolezni (T70.3†), ramenski predel 
M90.32;Osteonekroza pri kesonski bolezni (T70.3†), zgornji ud
M90.33;Osteonekroza pri kesonski bolezni (T70.3†), podlaket
M90.34;Osteonekroza pri kesonski bolezni (T70.3†), roka
M90.35;Osteonekroza pri kesonski bolezni (T70.3†), medenièni predel in stegno 
M90.36;Osteonekroza pri kesonski bolezni (T70.3†), spodnji ud 
M90.37;Osteonekroza pri kesonski bolezni (T70.3†), gleženj in stopalo
M90.38;Osteonekroza pri kesonski bolezni (T70.3†), drugo
M90.39;Osteonekroza pri kesonski bolezni (T70.3†), neopredeljeno mesto
M90.4;Osteonekroza zaradi hemoglobinopatije (D50-D64†)
M90.40;Osteonekroza zaradi hemoglobinopatije (D50-D64†), veè mest 
M90.41;Osteonekroza zaradi hemoglobinopatije (D50-D64†), ramenski predel 
M90.42;Osteonekroza zaradi hemoglobinopatije (D50-D64†), zgornji ud
M90.43;Osteonekroza zaradi hemoglobinopatije (D50-D64†), podlaket
M90.44;Osteonekroza zaradi hemoglobinopatije (D50-D64†), roka
M90.45;Osteonekroza zaradi hemoglobinopatije (D50-D64†), medenièni predel in stegno 
M90.46;Osteonekroza zaradi hemoglobinopatije (D50-D64†), spodnji ud 
M90.47;Osteonekroza zaradi hemoglobinopatije (D50-D64†), gleženj in stopalo
M90.48;Osteonekroza zaradi hemoglobinopatije (D50-D64†), drugo
M90.49;Osteonekroza zaradi hemoglobinopatije (D50-D64†), neopredeljeno mesto
M90.5;Osteonekroza pri drugih boleznih, uvršèenih drugje
M90.50;Osteonekroza pri drugih boleznih, uvršèenih drugje, veè mest
M90.51;Osteonekroza pri drugih boleznih, uvršèenih drugje, ramenski predel
M90.52;Osteonekroza pri drugih boleznih, uvršèenih drugje, zgornji ud
M90.53;Osteonekroza pri drugih boleznih, uvršèenih drugje, podlaket
M90.54;Osteonekroza pri drugih boleznih, uvršèenih drugje, roka
M90.55;Osteonekroza pri drugih boleznih, uvršèenih drugje, medenièni predel in stegno
M90.56;Osteonekroza pri drugih boleznih, uvršèenih drugje, spodnji ud
M90.57;Osteonekroza pri drugih boleznih, uvršèenih drugje, gleženj in stopalo
M90.58;Osteonekroza pri drugih boleznih, uvršèenih drugje, drugo
M90.59;Osteonekroza pri drugih boleznih, uvršèenih drugje, neopredeljeno mesto
M90.6;Deformirajoèi osteitis pri neoplazmah (C00-D48†)
M90.60;Deformirajoèi osteitis pri neoplazmah (C00-D48†), veè mest 
M90.61;Deformirajoèi osteitis pri neoplazmah (C00-D48†), ramenski predel 
M90.62;Deformirajoèi osteitis pri neoplazmah (C00-D48†), zgornji ud
M90.63;Deformirajoèi osteitis pri neoplazmah (C00-D48†), podlaket
M90.64;Deformirajoèi osteitis pri neoplazmah (C00-D48†), roka
M90.65;Deformirajoèi osteitis pri neoplazmah (C00-D48†), medenièni predel in stegno 
M90.66;Deformirajoèi osteitis pri neoplazmah (C00-D48†), spodnji ud 
M90.67;Deformirajoèi osteitis pri neoplazmah (C00-D48†), gleženj in stopalo
M90.68;Deformirajoèi osteitis pri neoplazmah (C00-D48†), drugo
M90.69;Deformirajoèi osteitis pri neoplazmah (C00-D48†), neopredeljeno mesto
M90.7;Zlom kosti pri neoplazmah (C00-D48†)
M90.70;Zlom kosti pri neoplazmah (C00-D48†), veè mest 
M90.71;Zlom kosti pri neoplazmah (C00-D48†), ramenski predel 
M90.72;Zlom kosti pri neoplazmah (C00-D48†), zgornji ud
M90.73;Zlom kosti pri neoplazmah (C00-D48†), podlaket
M90.74;Zlom kosti pri neoplazmah (C00-D48†), roka
M90.75;Zlom kosti pri neoplazmah (C00-D48†), medenièni predel in stegno 
M90.76;Zlom kosti pri neoplazmah (C00-D48†), spodnji ud 
M90.77;Zlom kosti pri neoplazmah (C00-D48†), gleženj in stopalo
M90.78;Zlom kosti pri neoplazmah (C00-D48†), drugo
M90.79;Zlom kosti pri neoplazmah (C00-D48†), neopredeljeno mesto
M90.8;Osteopatija pri drugih boleznih, uvršèenih drugje
M90.80;Osteopatija pri drugih boleznih, uvršèenih drugje, veè mest
M90.81;Osteopatija pri drugih boleznih, uvršèenih drugje, ramenski predel
M90.82;Osteopatija pri drugih boleznih, uvršèenih drugje, zgornji ud
M90.83;Osteopatija pri drugih boleznih, uvršèenih drugje, podlaket
M90.84;Osteopatija pri drugih boleznih, uvršèenih drugje, roka
M90.85;Osteopatija pri drugih boleznih, uvršèenih drugje, medenièni predel in stegno
M90.86;Osteopatija pri drugih boleznih, uvršèenih drugje, spodnji ud
M90.87;Osteopatija pri drugih boleznih, uvršèenih drugje, gleženj in stopalo
M90.88;Osteopatija pri drugih boleznih, uvršèenih drugje, drugo
M90.89;Osteopatija pri drugih boleznih, uvršèenih drugje, neopredeljeno mesto
M91;Juvenilna osteohondroza kolka in medenice
M91.0;Juvenilna medenièna osteohondroza
M91.1;Juvenilna osteohondroza glavice stegnenice (Legg-Calvé-Perthes)
M91.2;Ploski kolk (coxa plana)
M91.3;Lažna kolèna boleèina (psevdokoksalgija)
M91.8;Druge vrste juvenilna osteohondroza kolka in medenice
M91.9;Juvenilna osteohondroza kolka in medenice, neopredeljena
M92;Druge vrste juvenilna osteohondroza
M92.0;Juvenilna osteohondroza nadlahtnice (humerusa)
M92.1;Juvenilna osteohondroza koželjnice (radiusa) in podlahtnice (ulne)
M92.2;Juvenilna osteohondroza roke
M92.3;Druge vrste juvenilna osteohondroza zgornjega uda
M92.4;Juvenilna osteohondroza pogaèice (patele)
M92.5;Juvenilna osteohondroza golenice (tibije) in pišèali (fibule)
M92.6;Juvenilna osteohondroza narti (tarzusa)
M92.7;Juvenilna osteohondroza stopala
M92.8;Druge vrste opredeljena juvenilna osteohondroza
M92.9;Juvenilna osteohondroza, neopredeljena
M93;Druge osteohondropatije
M93.0;Zdrknjena zgornja stegnenièna epifiza (ne po poškodbi)
M93.1;Kienböckova bolezen pri odraslih
M93.2;Disekantni osteohondritis
M93.20;Disekantni osteohondritis, na veè mestih
M93.21;Disekantni osteohondritis, ramenski obroè
M93.22;Disekantni osteohondritis, nadlaht
M93.23;Disekantni osteohondritis, podlaht
M93.24;Disekantni osteohondritis, roka
M93.25;Disekantni osteohondritis, medenica in stegno
M93.26;Disekantni osteohondritis, golen
M93.27;Disekantni osteohondritis, gleženj in stopalo
M93.29;Disekantni osteohondritis, mesto, ki ni uvršèeno drugje
M93.8;Druge opredeljene osteohondropatije
M93.9;Osteohondropatija, neopredeljena
M94;Druge bolezni hrustanca
M94.0;Sindrom hrustanèno-rebrnega spoja [Tietze]
M94.1;Ponavljajoèi se (relapsni) polihondritis
M94.2;Hondromalacija
M94.20;Hondromalacija, veè mest
M94.21;Hondromalacija, ramenski predel
M94.22;Hondromalacija, zgornji ud
M94.23;Hondromalacija, podlaket
M94.24;Hondromalacija, roka
M94.25;Hondromalacija, medenièni predel in stegno
M94.26;Hondromalacija, spodnji ud
M94.27;Hondromalacija, gleženj in stopalo
M94.28;Hondromalacija, drugo
M94.29;Hondromalacija, neopredeljeno mesto
M94.3;Hondroliza
M94.30;Hondroliza, veè mest
M94.31;Hondroliza, ramenski predel
M94.32;Hondroliza, zgornji ud
M94.33;Hondroliza, podlaket
M94.34;Hondroliza, roka
M94.35;Hondroliza, medenièni predel in stegno
M94.36;Hondroliza, spodnji ud
M94.37;Hondroliza, gleženj in stopalo
M94.38;Hondroliza, drugo
M94.39;Hondroliza, neopredeljeno mesto
M94.8;Druge opredeljene bolezni hrustanca
M94.80;Druge opredeljene bolezni hrustanca, veè mest
M94.81;Druge opredeljene bolezni hrustanca, ramenski predel
M94.82;Druge opredeljene bolezni hrustanca, zgornji ud
M94.83;Druge opredeljene bolezni hrustanca, podlaket
M94.84;Druge opredeljene bolezni hrustanca, roka
M94.85;Druge opredeljene bolezni hrustanca, medenièni predel in stegno
M94.86;Druge opredeljene bolezni hrustanca, spodnji ud
M94.87;Druge opredeljene bolezni hrustanca, gleženj in stopalo
M94.88;Druge opredeljene bolezni hrustanca, drugo
M94.89;Druge opredeljene bolezni hrustanca, neopredeljeno mesto
M94.9;Bolezen hrustanca, neopredeljena
M94.90;Bolezen hrustanca, neopredeljena, veè mest
M94.91;Bolezen hrustanca, neopredeljena, ramenski predel
M94.92;Bolezen hrustanca, neopredeljena, zgornji ud
M94.93;Bolezen hrustanca, neopredeljena, podlaket
M94.94;Bolezen hrustanca, neopredeljena, roka
M94.95;Bolezen hrustanca, neopredeljena, medenièni predel in stegno
M94.96;Bolezen hrustanca, neopredeljena, spodnji ud
M94.97;Bolezen hrustanca, neopredeljena, gleženj in stopalo
M94.98;Bolezen hrustanca, neopredeljena, drugo
M94.99;Bolezen hrustanca, neopredeljena, neopredeljeno mesto
M95;Druge pridobljene deformacije mišiènoskeletnega sistema in vezivnega tkiva
M95.0;Pridobljena deformacija nosu
M95.1;Cvetaèasto uho
M95.2;Druge vrste pridobljena deformacija glave
M95.3;Pridobljena deformacija vratu
M95.4;Pridobljena deformacija prsnega koša in rebra
M95.5;Pridobljena deformacija medenice
M95.8;Druge opredeljene pridobljene deformacije mišiènoskeletnega sistema
M95.9;Pridobljena deformacija mišiènoskeletnega sistema, neopredeljena
M96;Mišiènoskeletne motnje po posegih, ki niso uvršèene drugje
M96.0;Psevdoartroza po spojitvi (fuziji) ali zatrditvi (artrodezi)
M96.1;Sindrom po laminektomiji, ki ni uvršèen drugje
M96.2;Kifoza po obsevanju (postradiacijska)
M96.3;Postlaminektomijska kifoza
M96.4;Lordoza po kirurškem posegu
M96.5;Skolioza po obsevanju (postradiacijska)
M96.6;Kostni zlom po vstavitvi ortopedskega pripomoèka, umetnega sklepa ali kostne plošèe
M96.8;Druge mišiènoskeletne okvare po posegih
M96.9;Mišiènoskeletna motnja po posegu, neopredeljena
M99;Biomehaniène okvare (lezije), ki niso uvršèene drugje
M99.0;Segmentna in somatièna motnja funkcije
M99.1;Subluksacijski kompleks (hrbtenièni)
M99.2;Subluksacijska zožitev živènega kanala
M99.3;Kostna zožitev živènega kanala
M99.4;Vezivnotkivna zožitev živènega kanala
M99.5;Zožitev živènega kanala zaradi medvretenène plošèice (diskusa)
M99.6;Kostna in subluksacijska zožitev medvretenène odprtine
M99.7;Vezivnotkivna in diskalna zožitev medvretenène odprtine
M99.8;Druge biomehaniène okvare
M99.9;Biomehanièna okvara, neopredeljena 
N00;Akutni nefritièni sindrom
N00.0;Akutni nefritièni sindrom, minimalne glomerulne nenormalnosti
N00.1;Akutni nefritièni sindrom, fokalne in segmentalne glomerulne lezije
N00.2;Akutni nefritièni sindrom, difuzni membranski glomerulonefritis
N00.3;Akutni nefritièni sindrom, difuzni mezangijski proliferacijski glomerulonefritis
N00.4;Akutni nefritièni sindrom, difuzni endokapilarni proliferativni glomerulonefritis
N00.5;Akutni nefritièni sindrom, difuzni mezangiokapilarni glomerulonefritis
N00.6;Akutni nefritièni sindrom, bolezni gostih (intramembranskih)  depozitov
N00.7;Akutni nefritièni sindrom, difuzni glomerulonefritis s polmeseci
N00.8;Akutni nefritièni sindrom, druge vrste
N00.9;Akutni nefritièni sindrom, neopredeljen
N01;Naglo napredujoèi nefritièni sindrom
N01.0;Naglo napredujoèi nefritièni sindrom, minimalne glomerulne nenormalnosti
N01.1;Naglo napredujoèi nefritièni sindrom, fokalne in segmentalne glomerulne lezije
N01.2;Naglo napredujoèi nefritièni sindrom, difuzni membranski glomerulonefritis
N01.3;Naglo napredujoèi nefritièni sindrom, difuzni mezangijski proliferacijski glomerulonefritis
N01.4;Naglo napredujoèi nefritièni sindrom, difuzni endokapilarni proliferativni glomerulonefritis
N01.5;Naglo napredujoèi nefritièni sindrom, difuzni mezangiokapilarni glomerulonefritis
N01.6;Naglo napredujoèi nefritièni sindrom, bolezni gostih (intramembranskih)  depozitov
N01.7;Naglo napredujoèi nefritièni sindrom, difuzni glomerulonefritis s polmeseci
N01.8;Naglo napredujoèi nefritièni sindrom, druge vrste
N01.9;Naglo napredujoèi nefritièni sindrom, neopredeljen
N02;Rekurentna in persistentna hematurija
N02.0;Rekurentna in persistentna hematurija, minimalne glomerulne nenormalnosti
N02.1;Rekurentna in persistentna hematurija, fokalne in segmentalne glomerulne lezije
N02.2;Rekurentna in persistentna hematurija, difuzni membranski glomerulonefritis
N02.3;Rekurentna in persistentna hematurija, difuzni mezangijski proliferacijski glomerulonefritis
N02.4;Rekurentna in persistentna hematurija, difuzni endokapilarni proliferativni glomerulonefritis
N02.5;Rekurentna in persistentna hematurija, difuzni mezangiokapilarni glomerulonefritis
N02.6;Rekurentna in persistentna hematurija, bolezni gostih (intramembranskih)  depozitov
N02.7;Rekurentna in persistentna hematurija, difuzni glomerulonefritis s polmeseci
N02.8;Rekurentna in persistentna hematurija, druge vrste
N02.9;Rekurentna in persistentna hematurija, neopredeljen
N03;Kronièni nefritièni sindrom
N03.0;Kronièni nefritièni sindrom, minimalne glomerulne nenormalnosti
N03.1;Kronièni nefritièni sindrom, fokalne in segmentalne glomerulne lezije
N03.2;Kronièni nefritièni sindrom, difuzni membranski glomerulonefritis
N03.3;Kronièni nefritièni sindrom, difuzni mezangijski proliferacijski glomerulonefritis
N03.4;Kronièni nefritièni sindrom, difuzni endokapilarni proliferativni glomerulonefritis
N03.5;Kronièni nefritièni sindrom, difuzni mezangiokapilarni glomerulonefritis
N03.6;Kronièni nefritièni sindrom, bolezni gostih (intramembranskih)  depozitov
N03.7;Kronièni nefritièni sindrom, difuzni glomerulonefritis s polmeseci
N03.8;Kronièni nefritièni sindrom, druge vrste
N03.9;Kronièni nefritièni sindrom, neopredeljen
N04;Nefrotièni sindrom
N04.0;Nefrotièni sindrom, minimalne glomerulne nenormalnosti
N04.1;Nefrotièni sindrom, fokalne in segmentalne glomerulne lezije
N04.2;Nefrotièni sindrom, difuzni membranski glomerulonefritis
N04.3;Nefrotièni sindrom, difuzni mezangijski proliferacijski glomerulonefritis
N04.4;Nefrotièni sindrom, difuzni endokapilarni proliferativni glomerulonefritis
N04.5;Nefrotièni sindrom, difuzni mezangiokapilarni glomerulonefritis
N04.6;Nefrotièni sindrom, bolezni gostih (intramembranskih)  depozitov
N04.7;Nefrotièni sindrom, difuzni glomerulonefritis s polmeseci
N04.8;Nefrotièni sindrom, druge vrste
N04.9;Nefrotièni sindrom, neopredeljen
N05;Neopredeljeni nefritièni sindrom
N05.0;Neopredeljeni nefritièni sindrom, minimalne glomerulne nenormalnosti
N05.1;Neopredeljeni nefritièni sindrom, fokalne in segmentalne glomerulne lezije
N05.2;Neopredeljeni nefritièni sindrom, difuzni membranski glomerulonefritis
N05.3;Neopredeljeni nefritièni sindrom, difuzni mezangijski proliferacijski glomerulonefritis
N05.4;Neopredeljeni nefritièni sindrom, difuzni endokapilarni proliferativni glomerulonefritis
N05.5;Neopredeljeni nefritièni sindrom, difuzni mezangiokapilarni glomerulonefritis
N05.6;Neopredeljeni nefritièni sindrom, bolezni gostih (intramembranskih)  depozitov
N05.7;Neopredeljeni nefritièni sindrom, difuzni glomerulonefritis s polmeseci
N05.8;Neopredeljeni nefritièni sindrom, druge vrste
N05.9;Neopredeljeni nefritièni sindrom, neopredeljen
N06;Izolirana proteinurija z opredeljeno morfološko lezijo
N06.0;Izolirana proteinurija z opredeljeno morfološko lezijo, minimalne glomerulne nenormalnosti
N06.1;Izolirana proteinurija z opredeljeno morfol. lezijo, fokalne in segmentalne glomerulne lezije
N06.2;Izolirana proteinurija z opredeljeno morfološko lezijo, difuzni membranski glomerulonefritis
N06.3;Izolirana proteinurija z opredeljeno morfološko lezijo, difuzni mezangijski proliferacijski glomerulonefritis
N06.4;Izolirana proteinurija z opredeljeno morfol. lezijo, difuzni endokapilarni proliferativni glomerulonefritis
N06.5;Izolirana proteinurija z opredeljeno morfol. lezijo, difuzni mezangiokapilarni glomerulon.
N06.6;Izolirana proteinurija z opredeljeno morfološko lezijo, bolezni gostih (intramembranskih)  depozitov
N06.7;Izolirana proteinurija z opredeljeno morfološko lezijo, difuzni glomerulonefritis s polmeseci
N06.8;Izolirana proteinurija z opredeljeno morfološko lezijo, druge vrste
N06.9;Izolirana proteinurija z opredeljeno morfološko lezijo, neopredeljena
N07;Hereditarna nefropatija, ki ni uvršèena drugje
N07.0;Hereditarna nefropatija, ki ni uvršèena drugje, minimalne glomerulne nenormalnosti
N07.1;Hereditarna nefropatija, ki ni uvršèena drugje, fokalne in segmentalne glomerulne lezije
N07.2;Hereditarna nefropatija, ki ni uvršèena drugje, difuzni membranski glomerulonefritis
N07.3;Hereditarna nefropatija, ki ni uvršèena drugje, difuzni mezangijski proliferacijski glomerulonefritis
N07.4;Hereditarna nefropatija, ki ni uvršèena drugje, difuzni endokapilarni proliferativni glomerulonefritis
N07.5;Hereditarna nefropatija, ki ni uvršèena drugje, difuzni mezangiokapilarni glomerulonefritis
N07.6;Hereditarna nefropatija, ki ni uvršèena drugje, bolezni gostih (intramembranskih)  depozitov
N07.7;Hereditarna nefropatija, ki ni uvršèena drugje, difuzni glomerulonefritis s polmeseci
N07.8;Hereditarna nefropatija, ki ni uvršèena drugje, druge vrste
N07.9;Hereditarna nefropatija, ki ni uvršèena drugje, neopredeljena
N08;Glomerulne motnje pri boleznih, uvršèenih drugje
N08.0;Glomerulne motnje pri infekcijskih in parazitskih boleznih, uvršèenih drugje
N08.1;Glomerulne motnje pri neoplastiènih boleznih
N08.2;Glomerulne motnje pri krvnih boleznih in motnjah imunskega mehanizma
N08.4;Glomerulne motnje pri drugih endokrinih, prehranskih in presnovnih boleznih
N08.5;Glomerulopatije pri vezivnotkivnih sistemskih boleznih
N08.8;Glomerulne spremembe pri drugih boleznih, uvršèenih drugje
N10;Akutni tubulointersticijski nefritis
N11;Kronièni tubulointersticijski nefritis
N11.0;Neobstruktivni refluksni kronièni pielonefritis
N11.1;Kronièni obstruktivni pielonefritis
N11.8;Druge vrste kronièni tubulointersticijski nefritis
N11.9;Kronièni tubulointersticijski nefritis, opredeljen
N12;Tubulointersticijski nefritis, ki ni opredeljen kot akutni ali kronièni
N13;Obstruktivna in refluksna uropatija
N13.0;Hidronefroza z obstrukcijo ureteropelviènega ustja
N13.1;Hidronefroza s strikturo seèevoda, ki ni uvršèena drugje
N13.2;Hidronefroza z obstrukcijo zaradi kamna v ledvici ali kamna v seèevodu (ureterju)
N13.3;Druge in neopredeljene hidronefroze
N13.4;Hidroureter
N13.5;Zažetost in striktura seèevoda (ureterja) brez hidronefroze
N13.6;Pionefroza
N13.7;Uropatija zaradi vezikoureternega refluksa
N13.8;Druge obstruktivne in refluksne uropatije
N13.9;Obstruktivna in refluksna uropatija, neopredeljena
N14;Tubulointersticijske nefropatije in tubulopatije, ki jih povzroèajo zdravila in težke kovine
N14.0;Analgetièna nefropatija
N14.1;Nefropatija, povzroèena z drugimi drogami, zdravili in biološkimi snovmi
N14.2;Nefropatija, povzroèena z neopredeljenimi drogami, zdravili ali biološkimi snovmi
N14.3;Nefropatija, povzroèena s težkimi kovinami
N14.4;Toksièna nefropatija, ki ni uvršèena drugje
N15;Druge ledviène tubulointersticijske bolezni
N15.0;Balkanska nefropatija
N15.1;Renalni in perinefrièni absces
N15.8;Druge opredeljene ledviène tubulointersticijske bolezni
N15.9;Ledvièna tubulointersticijska bolezen, neopredeljena
N16;Ledviène tubulointersticijske motnje pri boleznih, uvršèenih drugje
N16.0;Ledviène tubulointersticijske motnje pri infekcijskih in parazitskih boleznih, uvršèenih drugje
N16.1;Ledviène tubulointersticijske motnje pri neoplazmah
N16.2;Ledviène tubulointersticijske motnje pri krvnih boleznih in motnjah imunskega mehanizma
N16.3;Ledviène tubulointersticijske motnje pri metaboliènih boleznih
N16.4;Ledviène tubulointersticijske motnje pri sistemskih vezivnotkivnih motnjah
N16.5;Ledviène tubulointersticijske motnje ob zavrnitvi presajene ledvice (T86.-†)
N16.8;Ledviène tubulointersticijske motnje pri drugih boleznih, uvršèenih drugje
N17;Akutna ledvièna odpoved
N17.0;Akutna ledvièna odpoved s tubulno nekrozo
N17.1;Akutna ledvièna odpoved z akutno kortikalno nekrozo
N17.2;Akutna ledvièna odpoved z medularno nekrozo
N17.8;Druge vrste akutna ledvièna odpoved
N17.9;Akutna ledvièna odpoved, neopredeljena
N18;Kronièna ledvièna odpoved
N18.1;Kronièna ledvièna bolezen (KLB), stopnja 1
N18.2;Kronièna ledvièna bolezen (KLB), stopnja 2
N18.3;Kronièna ledvièna bolezen (KLB), stopnja 3
N18.4;Kronièna ledvièna bolezen (KLB), stopnja 4
N18.5;Kronièna ledvièna bolezen (KLB), stopnja 5
N18.9;Kronièna ledvièna odpoved, neopredeljena
N19;Neopredeljena ledvièna odpoved
